advertisers_company_name,api_text,clicks,impressions
H&M,"#BeckhamforHM is being revealed in the big game. Did you choose #Covered or #Uncovered? http://t.co/5kdRGYtvLP",0,59794
H&M,"#BeckhamforHM is being revealed in the big game. Did you choose #Covered or #Uncovered? http://t.co/5kdRGYtvLP",0,25351
H&M,"#BeckhamforHM is being revealed in the big game. Did you choose #Covered or #Uncovered? http://t.co/5kdRGYtvLP",0,26606
H&M,"#BeckhamforHM is being revealed in the big game. Did you choose #Covered or #Uncovered? http://t.co/5kdRGYtvLP",0,22695
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,29446
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,8
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,62466
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,55118
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,22959
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,38219
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,7177
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,5
H&M,"#BeckhamforHM is being revealed in the big game. Did you choose #Covered or #Uncovered? http://t.co/5kdRGYtvLP",0,19205
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,57468
Mars,"Sunday @JoeMontana + I are calling #SB48 live in videos like this! Joe says to expect fireworks. Cool, I love colors! http://t.co/GJheq0jcQy",0,9
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,42373
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,56574
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,69072
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,146
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,4
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,2
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,1
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,3
H&M,"Boxers, briefs or long johns. Who’s watching the Super Bowl in #BeckhamforHM? http://t.co/DgvmmArk0v http://t.co/KNpkbgRJMO",0,114876
H&M,"Boxers, briefs or long johns. Who’s watching the Super Bowl in #BeckhamforHM? http://t.co/DgvmmArk0v http://t.co/KNpkbgRJMO",0,1
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,27313
H&M,"Boxers, briefs or long johns. Who’s watching the Super Bowl in #BeckhamforHM? http://t.co/DgvmmArk0v http://t.co/KNpkbgRJMO",0,57280
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,1137
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,74641
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,3483
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,13234
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,8
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,1
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,132360
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,117547
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,14489
H&M,"Team colors, check! Chips &amp; dip, check! Lucky boxers, check! We're ready for the big game. #BeckhamforHM http://t.co/MnNZqXjq3F",0,13
H&M,"Heading to a Super Bowl party? We want to see your game day outfits. Share w. #SB48Party. We'll RT our faves!",0,4572
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,1545
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,3709
H&M,"Style your #SB48! Take 30% off online with code 4848 all weekend long. http://t.co/9vnbexKpoC",0,779
H&M,"Coming soon to your TV screen...#BeckhamforHM http://t.co/ViGwpHnCtu",0,18361
H&M,"Coming soon to your TV screen...#BeckhamforHM http://t.co/ViGwpHnCtu",0,1
H&M,"Coming soon to your TV screen...#BeckhamforHM http://t.co/ViGwpHnCtu",0,4000
H&M,"Coming soon to your TV screen...#BeckhamforHM http://t.co/ViGwpHnCtu",0,34
H&M,"Coming soon to your TV screen...#BeckhamforHM http://t.co/ViGwpHnCtu",0,30
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,10473
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,260
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,82
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,31
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,14
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,13
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,6
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,5
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,3
H&M,"Instant Replay! #BeckhamforHM #uncovered http://t.co/16ZM31F7SC",0,1
Mars,"A TD means his team gives him @Skittles! I enjoy any #SB48 TD celebration that's this colorful! https://t.co/3CVfEq1xON #mmscolorcommentary",0,50829
Mars,"A TD means his team gives him @Skittles! I enjoy any #SB48 TD celebration that's this colorful! https://t.co/3CVfEq1xON #mmscolorcommentary",0,56
Mars,"A TD means his team gives him @Skittles! I enjoy any #SB48 TD celebration that's this colorful! https://t.co/3CVfEq1xON #mmscolorcommentary",0,5
Mars,"A TD means his team gives him @Skittles! I enjoy any #SB48 TD celebration that's this colorful! https://t.co/3CVfEq1xON #mmscolorcommentary",0,1
Mars,"A TD means his team gives him @Skittles! I enjoy any #SB48 TD celebration that's this colorful! https://t.co/3CVfEq1xON #mmscolorcommentary",0,40877
Mars,"A TD means his team gives him @Skittles! I enjoy any #SB48 TD celebration that's this colorful! https://t.co/3CVfEq1xON #mmscolorcommentary",0,45
Mars,"A TD means his team gives him @Skittles! I enjoy any #SB48 TD celebration that's this colorful! https://t.co/3CVfEq1xON #mmscolorcommentary",0,29
Mars,"A TD means his team gives him @Skittles! I enjoy any #SB48 TD celebration that's this colorful! https://t.co/3CVfEq1xON #mmscolorcommentary",0,6
Mars,"The suspense is over! Check out my big #SB48 debut: http://t.co/t6QuJrVbe0",0,13776
Mars,"The suspense is over! Check out my big #SB48 debut: http://t.co/t6QuJrVbe0",0,20
Mars,"The suspense is over! Check out my big #SB48 debut: http://t.co/t6QuJrVbe0",0,3
Mars,"The suspense is over! Check out my big #SB48 debut: http://t.co/t6QuJrVbe0",0,7
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,51953
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,1520
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,144
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,133
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,64
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,40
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,39
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,17
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,32
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,11
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,14
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,96990
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,3780
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,301
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,193
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,103
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,81
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,67
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,84
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,43
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,34
H&M,"The best thing you'll see all night: http://t.co/16ZM31F7SC #BeckhamforHM http://t.co/Df5csLp18j",0,28
